4food,melgalllll Sandwich,521b95454a56d006cae29a98,53444ea3bbe33514459806d1,NULL,1,BUILDBOARD - melgalllll Sandwich,NULL,319,NULL,3.5,0.4,0,NULL,NULL,0,298,57.7,12.6,8.8,16.7,486,25,11,24,NULL,NULL,1,sandwich,NULL,NULL,2014-12-30T08:20:00+00:00,24708
Bertucci's,Caesar Dressing,513fbc1283aa2dc80c000048,513fc997927da704080041df,NULL,1,Dressings & Sauces - Caesar Dressing,NULL,120,NULL,12,2,NULL,NULL,NULL,NULL,388,1,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,fl oz,NULL,NULL,2014-12-30T07:28:46+00:00,22280
Baskin Robbins,Trick OREOå¨ Treat Ice Cream,51db37b9176fe9790a898c07,52cdcd42051cb9eb3200680a,NULL,1,Flavors of the Month - Trick OREOå¨ Treat Ice Cream,NULL,300,140,16,9,0,NULL,NULL,45,140,36,1,30,5,8,2,15,4,NULL,NULL,4,oz scoops,NULL,NULL,2014-12-30T08:15:02+00:00,23915
Bareburger,Sweet Fries Snack,463d66626e509ef91be379d0,463d6886052f86f8f55bb377,NULL,1,,NULL,1150,690,79,7,0,NULL,NULL,0,1070,120,19,44,6,NULL,NULL,NULL,NULL,NULL,NULL,13.4,oz,NULL,NULL,2014-11-14T21:08:20+00:00,NULL
Cosi,Tomatoes - Salad,513fbc1283aa2dc80c000064,529e7dd7f9655f6d35002048,NULL,1,,NULL,9.58,2.4,0,0,0,NULL,NULL,0,4.79,2.4,0,0,0,5,14,0,0,NULL,NULL,45.52,Grams,45.52,NULL,2014-10-02T18:42:23+00:00,22235
Extreme Pizza,Chicken BBQ Caesar Salad EntrÌ©e,513fbc1283aa2dc80c0000df,529e7f0cea63d49335007eaf,NULL,1,"Healthy Dining Fresh Salads, Fresh Salads - Chicken BBQ Caesar Salad EntrÌ©e",NULL,203,NULL,NULL,2.1,NULL,NULL,NULL,NULL,582.6,14.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,servings,NULL,NULL,2014-12-30T08:09:28+00:00,"2,292,822,930"
D'Angelo Grilled Sandwiches,Medium - Provolone,513fbc1283aa2dc80c00072f,53444eec9a631f1645ed0092,NULL,1,BUILD YOUR OWN COLD SANDWICHES - Cheese - Medium - Provolone,NULL,200,135,15,9,0.5,NULL,NULL,45,400,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,57,g,NULL,NULL,2014-12-30T08:17:23+00:00,24241
4food,melgalllll Sandwich,521b95454a56d006cae29a98,53444ea3bbe33514459806d1,NULL,1,BUILDBOARD - melgalllll Sandwich,NULL,319,NULL,3.5,0.4,0,NULL,NULL,0,298,57.7,12.6,8.8,16.7,486,25,11,24,NULL,NULL,1,sandwich,NULL,NULL,2014-12-30T08:20:00+00:00,24708
Brixx Wood Fired Pizza,Corn and Black Bean Salad,513fbc1283aa2dc80c000b97,53444f91cd5bb303a94c4a7f,NULL,1,SANDWICH SIDE ITEMS - Corn and Black Bean Salad,NULL,140,10,1,0,0,NULL,NULL,0,520,29,7,3,7,2,4,2,10,NULL,NULL,1,Salad,NULL,NULL,2014-12-30T08:17:36+00:00,18540
Menchie's Frozen Yogurt,Takes The Cake Batter,513fbc1283aa2dc80c00007f,5266a1999f05a39eb300b8dd,NULL,1,LOWFAT - Takes The Cake Batter,NULL,130,10,1,0,NULL,NULL,NULL,NULL,NULL,26,NULL,20,4,NULL,NULL,15,NULL,NULL,NULL,0.5,cup,NULL,NULL,2014-12-30T08:06:10+00:00,22077
Bd's Mongolian Grill,Egg,521b95434a56d006cae297f9,53444cfc7ba4ca15456f561c,NULL,1,MEATS - Egg,NULL,60,40,5,2,0,NULL,NULL,185,60,0,0,0,6,4,0,2,4,NULL,NULL,1,ea,NULL,NULL,2014-12-30T08:21:31+00:00,24961
California Pizza Kitchen,"Flavored Fresh Lemonade, Peach",513fbc1283aa2dc80c000034,529e7e68ea63d49335004f54,NULL,1,"BEVERAGES - Flavored Fresh Lemonade, Peach",NULL,180,0,0,0,0,NULL,NULL,0,14,46,0,42,0,NULL,NULL,NULL,NULL,NULL,NULL,1,lemonade,NULL,NULL,2014-12-30T08:08:27+00:00,22619
Whitespot Restaurants,Add Pirate Tossed Salad,513fbc1283aa2dc80c000b8e,53444f7c7ba4ca15456f5e57,NULL,1,PIRATE PAKS - Add Pirate Tossed Salad,NULL,63,NULL,5,0.4,0,NULL,NULL,5,49,3,0.7,2,1,51,5,2,8,NULL,NULL,59,g,NULL,NULL,2014-12-30T08:17:14+00:00,18431
Applebee's,Strawberry Vinaigrette,513fbc1283aa2dc80c000015,534448e4bbe335144597fd76,NULL,1,KID'S MENU - Strawberry Vinaigrette,NULL,110,NULL,8,1,0,NULL,NULL,NULL,220,9,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1,fl oz,NULL,NULL,2014-12-30T08:19:37+00:00,21146
Ponderosa Steakhouse,Spinach Salad,513fbc1283aa2dc80c00056e,513fc9e73fe3ffd403000b5e,NULL,1,All You Can Eat Buffet - Spinach Salad,NULL,36,20,2,0,0,NULL,NULL,13,95,3,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,1,Ounce,NULL,NULL,2014-12-30T07:55:17+00:00,22725
Daphne's Greek Cafe,Grilled Chicken Kabob and Lemon Chicken Soup,513fbc1283aa2dc80c000383,513fc9cc673c4fbc260064c0,NULL,1,3-COURSE DINNER - Grilled Chicken Kabob and Lemon Chicken Soup,NULL,290,120,14,4,NULL,NULL,NULL,120,1580,15,1,3,28,NULL,NULL,NULL,NULL,NULL,NULL,1,plating,NULL,NULL,2014-12-30T07:52:08+00:00,19079
Burger Lounge,Add Malt to A Milkshake,513fbc1283aa2dc80c000314,52cdd0e5051cb9eb32013840,NULL,1,DESSERTS - Add Malt to A Milkshake,NULL,243,49,5,3,0,NULL,NULL,14,230,41,3,27,8,NULL,NULL,NULL,NULL,NULL,NULL,2,oz,NULL,NULL,2014-12-30T08:13:58+00:00,23749
Sonic,Sweet Iced Tea -Route 44å¨ (44 oz),513fbc1283aa2dc80c000010,513fc993927da70408001c19,NULL,1,,NULL,400,0,0,0,0,NULL,NULL,0,25,103,0,100,0,0,0,0,0,NULL,NULL,1,serving,NULL,NULL,2014-12-30T07:22:14+00:00,NULL
Menchie's Frozen Yogurt,Takes The Cake Batter,513fbc1283aa2dc80c00007f,5266a1999f05a39eb300b8dd,NULL,1,LOWFAT - Takes The Cake Batter,NULL,130,10,1,0,NULL,NULL,NULL,NULL,NULL,26,NULL,20,4,NULL,NULL,15,NULL,NULL,NULL,0.5,cup,NULL,NULL,2014-12-30T08:06:10+00:00,22077
Nando's Peri-Peri,Macho Peas,513fbc1283aa2dc80c000058,513fc991927da7040800004c,NULL,1,SIDE ITEMS - Macho Peas,NULL,328,221,25,13,0,NULL,NULL,53,171,18,7,5,8,36,45,1,11,NULL,NULL,1,serving,NULL,NULL,2014-12-30T07:21:51+00:00,23009
