USDA,"MISSION FOODS, MISSION Flour Tortillas, Soft Taco, 8 inch - 1 serving",513fcc648110a4cafb90ca5e,513fceb775b8dbbc21002a3f,NULL,3,NULL,NULL,146,27,3,0,NULL,0,1,0,457,25,0,0,4,0,0,9,5,NULL,1,serving,51,2013-06-28T10:53:50-04:00
USDA,"Snacks, rice cakes, brown rice, multigrain, unsalted - 2 cakes",513fcc648110a4cafb90ca5e,513fceb775b8dbbc21002d53,NULL,3,NULL,NULL,69,5,0,0,NULL,0,0,0,0,14,0,0,1,0,0,0,1,NULL,2,cakes,18,2013-06-28T10:53:50-04:00
USDA,"Veal, variety meats and by-products, tongue, cooked, braised - 3 oz",513fcc648110a4cafb90ca5e,513fceb675b8dbbc210024fc,NULL,3,NULL,NULL,171,77,8,3,NULL,0,3,202,54,0,0,0,21,0,8,0,9,NULL,3,oz,85,2013-06-28T10:53:50-04:00
USDA,"Cookies, marshmallow, chocolate-coated (includes marshmallow pies) - 1 oz",513fcc648110a4cafb90ca5e,513fceb775b8dbbc2100276e,NULL,3,NULL,NULL,119,43,4,1,NULL,0,2,0,53,19,0,12,1,0,0,1,3,NULL,1,oz,28,2013-06-28T10:53:50-04:00
USDA,"Babyfood, cereal, barley, dry - 0.5 oz",513fcc648110a4cafb90ca5e,513fceb375b8dbbc21000481,NULL,3,NULL,NULL,56,8,0,0,NULL,0,0,0,1,10,0,1,1,0,0,11,39,NULL,0,oz,15,2013-06-28T10:53:50-04:00
USDA,"Carbonated beverage, cola, contains caffeine - 1 cup large fast food, 32 fl oz capacity, weight of the drink only  with no ice added",513fcc648110a4cafb90ca5e,513fceb675b8dbbc21001eab,NULL,3,NULL,NULL,267,1,0,0,NULL,0,0,0,28,69,0,64,0,0,0,1,4,NULL,1,"cup large fast food, 32 fl oz capacity, weight of the drink only  with no ice added",722,2013-06-28T10:53:50-04:00
USDA,"English muffins, whole-wheat - 1 oz",513fcc648110a4cafb90ca5e,513fceb775b8dbbc21002871,NULL,3,NULL,NULL,57,5,0,0,NULL,0,0,0,103,11,1,2,2,0,0,7,3,NULL,1,oz,28,2013-06-28T10:53:50-04:00
USDA,"Syrups, malt - 1 tbsp",513fcc648110a4cafb90ca5e,513fceb775b8dbbc21002cbc,NULL,3,NULL,NULL,66,0,0,0,NULL,0,0,0,7,14,0,14,1,0,0,1,1,NULL,1,tbsp,21,2013-06-28T10:53:50-04:00
USDA,"Crackers, melba toast, rye (includes pumpernickel) - 0.5 oz",513fcc648110a4cafb90ca5e,513fceb775b8dbbc210027dc,NULL,3,NULL,NULL,55,4,0,0,NULL,0,0,0,127,10,1,0,1,0,0,1,2,NULL,0,oz,14,2013-06-28T10:53:50-04:00
USDA,"Snacks, potato chips, made from dried potatoes, cheese-flavor - 1 oz",513fcc648110a4cafb90ca5e,513fceb775b8dbbc21002cfb,NULL,3,NULL,NULL,156,94,10,2,NULL,5,2,1,170,14,0,0,1,0,4,3,2,NULL,1,oz,28,2013-06-28T10:53:50-04:00
USDA,"Veal, variety meats and by-products, tongue, cooked, braised - 3 oz",513fcc648110a4cafb90ca5e,513fceb675b8dbbc210024fc,NULL,3,NULL,NULL,171,77,8,3,NULL,0,3,202,54,0,0,0,21,0,8,0,9,NULL,3,oz,85,2013-06-28T10:53:50-04:00
USDA,"English muffins, whole-wheat - 1 oz",513fcc648110a4cafb90ca5e,513fceb775b8dbbc21002871,NULL,3,NULL,NULL,57,5,0,0,NULL,0,0,0,103,11,1,2,2,0,0,7,3,NULL,1,oz,28,2013-06-28T10:53:50-04:00
USDA,"MISSION FOODS, MISSION Flour Tortillas, Soft Taco, 8 inch - 1 serving",513fcc648110a4cafb90ca5e,513fceb775b8dbbc21002a3f,NULL,3,NULL,NULL,146,27,3,0,NULL,0,1,0,457,25,0,0,4,0,0,9,5,NULL,1,serving,51,2013-06-28T10:53:50-04:00
USDA,"Pears, canned, juice pack, solids and liquids - 1 cup, halves",513fcc648110a4cafb90ca5e,513fceb575b8dbbc2100111c,NULL,3,NULL,NULL,124,1,0,0,NULL,0,0,0,9,32,3,24,0,0,6,2,3,NULL,1,"cup, halves",248,2013-06-28T10:53:50-04:00
USDA,"Carbonated beverage, cola, contains caffeine - 1 cup large fast food, 32 fl oz capacity, weight of the drink only  with no ice added",513fcc648110a4cafb90ca5e,513fceb675b8dbbc21001eab,NULL,3,NULL,NULL,267,1,0,0,NULL,0,0,0,28,69,0,64,0,0,0,1,4,NULL,1,"cup large fast food, 32 fl oz capacity, weight of the drink only  with no ice added",722,2013-06-28T10:53:50-04:00
USDA,"Pork, fresh, leg (ham), rump half, separable lean only, raw - 1 roast",513fcc648110a4cafb90ca5e,513fceb575b8dbbc21001211,NULL,3,NULL,NULL,4742,1042,115,37,NULL,24,45,2450,3003,0,0,0,861,5,0,47,147,NULL,1,roast,3952,2013-06-28T10:53:50-04:00
USDA,"Peaches, raw - 1 large (2-3/4"" dia)",513fcc648110a4cafb90ca5e,513fceb575b8dbbc210010f8,NULL,3,NULL,NULL,68,3,0,0,NULL,0,0,0,0,16,2,14,1,11,19,1,2,NULL,1,"large (2-3/4"" dia)",175,2013-06-28T10:53:50-04:00
